,fraudulent,customer.customerEmail,customer.customerPhone,customer.customerDevice,customer.customerIPAddress,customer.customerBillingAddress,transactionId,orderId,paymentMethodId,transactionAmount,transactionFailed,orderState,orderShippingAddress,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,paymentMethodIssuer
10,False,rubenjuarez@yahoo.com,670.664.8168x94985,slovx60t0i558may4ks0,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",vx4cjc27,fbz9ep,pdxjdwui4,34,False,fulfilled,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",False,card,Voyager,Grand Credit Corporation
11,False,rubenjuarez@yahoo.com,670.664.8168x94985,slovx60t0i558may4ks0,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",yiay9b0n,7odnn6,pdxjdwui4,26,False,fulfilled,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",False,card,Voyager,Grand Credit Corporation
12,False,rubenjuarez@yahoo.com,670.664.8168x94985,slovx60t0i558may4ks0,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",sn3v0ql2,audx7o,pdxjdwui4,25,False,fulfilled,"428 Ricardo Mountain
Port Lorihaven, UT 07665-3981",False,card,Voyager,Grand Credit Corporation
13,True,uchen@malone.com,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",q8j3dgni,56h7iw,olr4zf09x,71,False,fulfilled,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",False,card,VISA 13 digit,Grand Credit Corporation
14,True,uchen@malone.com,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",xjulqy8x,kowj1v,gehl28i8u,66,True,fulfilled,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",False,card,JCB 16 digit,Bastion Banks
15,True,uchen@malone.com,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",rvm65vr1,wlznfu,gehl28i8u,69,False,failed,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",False,card,JCB 16 digit,Bastion Banks
16,True,uchen@malone.com,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",kckrvagp,hm3rth,76bw9eqg2,46,True,fulfilled,"620 Alexander Views
Michaelstad, AK 94959-7484",False,apple pay,VISA 16 digit,His Majesty Bank Corp.
17,True,uchen@malone.com,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",2slep8t9,vvq05w,s6escw45g,68,False,fulfilled,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",False,card,JCB 16 digit,Solace Banks
18,True,uchen@malone.com,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",yd80pfko,xwo0al,76bw9eqg2,59,False,fulfilled,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",False,apple pay,VISA 16 digit,His Majesty Bank Corp.
19,True,uchen@malone.com,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",ckk3ux58,2528x8,w1i1zq3rg,32,False,fulfilled,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",False,apple pay,American Express,Grand Credit Corporation
20,True,robinsoncynthia@dunn.com,+65(5)8997489788,hbww39m1wenbq4ymjhsx,43.166.163.164,"65233 Hutchinson Mountains
Martinezside, OR 75588",67qcpl0r,vq7j5b,n5fj5bc0e,25,False,pending,"764 Collier Springs
Jackfurt, NE 95955-5328",False,card,VISA 16 digit,p
21,True,samuel15@saunders-rhodes.com,05045239487,up7afvce5v0omniqlevq,33.67.35.30,"3960 Emily Fort
Staceytown, AR 21817-3325",9jutaun8,sq7rk9,je76d0ulj,40,True,fulfilled,"9447 Cook Extensions
Rebeccahaven, NY 78148-0238",False,apple pay,VISA 13 digit,x
22,True,samuel15@saunders-rhodes.com,05045239487,up7afvce5v0omniqlevq,33.67.35.30,"3960 Emily Fort
Staceytown, AR 21817-3325",lla8uo92,sq7rk9,je76d0ulj,40,False,fulfilled,"9447 Cook Extensions
Rebeccahaven, NY 78148-0238",False,apple pay,VISA 13 digit,x
23,True,johnlowery@gmail.com,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",cfoevtai,kanub7,yxsf33ipw,65,True,fulfilled,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",False,bitcoin,Voyager,Bulwark Trust Corp.
24,True,johnlowery@gmail.com,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",300mewnx,kanub7,8xex97krx,65,False,fulfilled,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",False,card,VISA 16 digit,Her Majesty Trust
25,True,johnlowery@gmail.com,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",kg0emdbe,605pbl,yxsf33ipw,36,False,failed,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",False,bitcoin,Voyager,Bulwark Trust Corp.
26,True,johnlowery@gmail.com,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",crwqqfpi,7fs5td,yxsf33ipw,68,False,fulfilled,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",False,bitcoin,Voyager,Bulwark Trust Corp.
27,True,johnlowery@gmail.com,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",u2xbyl92,ccuh4k,8xex97krx,74,True,fulfilled,"27513 Betty Gardens Suite 901
Stewartport, CA 27936-0627",False,card,VISA 16 digit,Her Majesty Trust
28,True,johnlowery@gmail.com,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",c5w6btep,lajvhn,8xex97krx,55,False,fulfilled,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",False,card,VISA 16 digit,Her Majesty Trust
29,False,jameslandry@rodriguez.com,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",idd9amrw,mtg9kj,yk3gx9knx,25,False,fulfilled,"USNS Price
FPO AE 14661",False,card,Discover,Her Majesty Trust
30,False,jameslandry@rodriguez.com,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",sihnojhc,1b71xd,yk3gx9knx,21,True,pending,"USNS Price
FPO AE 14661",False,card,Discover,Her Majesty Trust
31,False,jameslandry@rodriguez.com,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",2ta3i8e2,1b71xd,yk3gx9knx,21,True,pending,"USNS Price
FPO AE 14661",False,card,Discover,Her Majesty Trust
32,False,jameslandry@rodriguez.com,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",ksmxqqg3,1b71xd,yk3gx9knx,21,True,pending,"USNS Price
FPO AE 14661",False,card,Discover,Her Majesty Trust
33,False,jameslandry@rodriguez.com,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",8pssnrcy,1b71xd,yk3gx9knx,21,False,pending,"USNS Price
FPO AE 14661",False,card,Discover,Her Majesty Trust
34,True,bowenwilliam@yahoo.com,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",i2xemksa,a0dh26,4nt3vg6nr,40,True,fulfilled,"256 Vang Prairie Suite 748
West Troyland, IA 65490-2272",False,card,Discover,c
35,True,bowenwilliam@yahoo.com,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",fkxbbt2y,a0dh26,4nt3vg6nr,40,False,fulfilled,"256 Vang Prairie Suite 748
West Troyland, IA 65490-2272",False,card,Discover,c
36,True,bowenwilliam@yahoo.com,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",ud4zmsnq,izik2o,4nt3vg6nr,18,False,pending,"27061 Wright Forks
Craigland, MN 59915",False,card,Discover,c
37,True,bowenwilliam@yahoo.com,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",wnlc7kcq,2sumqh,4nt3vg6nr,46,False,failed,"27061 Wright Forks
Craigland, MN 59915",False,card,Discover,c
38,True,bowenwilliam@yahoo.com,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",uqgebkxo,kcmymd,4nt3vg6nr,12,False,fulfilled,"27061 Wright Forks
Craigland, MN 59915",False,card,Discover,c
39,True,bowenwilliam@yahoo.com,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",9u7gmxy2,mocbj3,4nt3vg6nr,11,True,fulfilled,"27061 Wright Forks
Craigland, MN 59915",False,card,Discover,c
40,False,ksummers@hotmail.com,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",46ijodjq,ji75jj,14t4urgqg,12,False,fulfilled,"5918 Jeremy Spur Apt. 524
Martinborough, SC 73839-0349",False,card,Discover,Vertex Bancorp
41,False,ksummers@hotmail.com,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",xo1gdp22,5lyh0x,anpl44kz2,30,False,fulfilled,"7792 Lambert Flats
Jessicaland, OK 69264",False,card,American Express,Bastion Banks
42,False,ksummers@hotmail.com,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",33jfoo59,ha14ey,14t4urgqg,49,True,fulfilled,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",False,card,Discover,Vertex Bancorp
43,False,ksummers@hotmail.com,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",i8bk4lna,ha14ey,ahnb9wv33,49,False,fulfilled,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",False,card,VISA 13 digit,Her Majesty Trust
44,False,ksummers@hotmail.com,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7p73brx2,ni3keo,ahnb9wv33,45,True,fulfilled,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",False,card,VISA 13 digit,Her Majesty Trust
45,False,ksummers@hotmail.com,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",zwl18ddd,vvo42o,ahnb9wv33,28,True,fulfilled,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",False,card,VISA 13 digit,Her Majesty Trust
46,False,ksummers@hotmail.com,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",i8zlhilq,vvo42o,12sooz8hm,28,False,fulfilled,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",False,bitcoin,Maestro,Vertex Bancorp
47,False,christineklein@wright-boyd.org,897-464-6425x941,j8cp1uydkuyza2eo0mir,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,"67636 Renee Islands Suite 307
Teresaview, ND 09042",fgobyd98,abc26t,9pfrhknoz,10,False,fulfilled,"PSC 4895, Box 9024
APO AA 50628-5796",False,bitcoin,VISA 16 digit,Citizens First Banks
48,False,christineklein@wright-boyd.org,897-464-6425x941,j8cp1uydkuyza2eo0mir,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,"67636 Renee Islands Suite 307
Teresaview, ND 09042",c4fephmj,bdzhkd,ow9u8ogs4,45,False,pending,"67636 Renee Islands Suite 307
Teresaview, ND 09042",False,card,VISA 16 digit,Vertex Bancorp
49,False,christineklein@wright-boyd.org,897-464-6425x941,j8cp1uydkuyza2eo0mir,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,"67636 Renee Islands Suite 307
Teresaview, ND 09042",07hkhmmf,l8smyt,ow9u8ogs4,46,False,fulfilled,"957 Sheila Prairie
West Jacquelineburgh, DE 46455-3868",False,card,VISA 16 digit,Vertex Bancorp
50,False,christineklein@wright-boyd.org,897-464-6425x941,j8cp1uydkuyza2eo0mir,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,"67636 Renee Islands Suite 307
Teresaview, ND 09042",jz6qu6zy,0esxhp,ow9u8ogs4,16,False,fulfilled,"355 Tamara Plains
North Judyton, LA 04531",False,card,VISA 16 digit,Vertex Bancorp
51,False,meganwalters@chavez.com,(522)133-8741x643,qsxqbn6qjxkni7f813qn,98.229.160.246,"7541 Olson Glens
Ballshire, IL 29415",bhil44kr,ooxrwm,o2ct2h9fp,43,True,fulfilled,"PSC 5530, Box 9664
APO AE 46314",False,card,Mastercard,Her Majesty Trust
52,False,meganwalters@chavez.com,(522)133-8741x643,qsxqbn6qjxkni7f813qn,98.229.160.246,"7541 Olson Glens
Ballshire, IL 29415",nw0a0y9s,ooxrwm,o2ct2h9fp,43,False,fulfilled,"PSC 5530, Box 9664
APO AE 46314",False,card,Mastercard,Her Majesty Trust
53,False,meganwalters@chavez.com,(522)133-8741x643,qsxqbn6qjxkni7f813qn,98.229.160.246,"7541 Olson Glens
Ballshire, IL 29415",enl54gvp,2p3zor,o2ct2h9fp,34,True,fulfilled,"00287 Davidson Stravenue
New Staceytown, ND 18845",False,card,Mastercard,Her Majesty Trust
54,False,meganwalters@chavez.com,(522)133-8741x643,qsxqbn6qjxkni7f813qn,98.229.160.246,"7541 Olson Glens
Ballshire, IL 29415",hkcfpxan,2p3zor,o2ct2h9fp,34,False,fulfilled,"00287 Davidson Stravenue
New Staceytown, ND 18845",False,card,Mastercard,Her Majesty Trust
55,False,caleb94@sutton.info,07452086668,lixwrlvcr4g5ht600dk9,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,"813 Miller Lakes
Lake Christina, SD 29778-1298",n7vnyysr,49zp0m,5a44rykx3,19,False,failed,"813 Miller Lakes
Lake Christina, SD 29778-1298",False,card,VISA 16 digit,Solace Banks
56,False,caleb94@sutton.info,07452086668,lixwrlvcr4g5ht600dk9,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,"813 Miller Lakes
Lake Christina, SD 29778-1298",mx7hay87,eqpu3r,5a44rykx3,46,False,fulfilled,"813 Miller Lakes
Lake Christina, SD 29778-1298",False,card,VISA 16 digit,Solace Banks
57,False,caleb94@sutton.info,07452086668,lixwrlvcr4g5ht600dk9,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,"813 Miller Lakes
Lake Christina, SD 29778-1298",vby375q9,gzlvco,5a44rykx3,39,False,fulfilled,"813 Miller Lakes
Lake Christina, SD 29778-1298",False,card,VISA 16 digit,Solace Banks
58,False,caleb94@sutton.info,07452086668,lixwrlvcr4g5ht600dk9,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,"813 Miller Lakes
Lake Christina, SD 29778-1298",1ti2lm0o,p1yden,5a44rykx3,35,False,fulfilled,"813 Miller Lakes
Lake Christina, SD 29778-1298",False,card,VISA 16 digit,Solace Banks
59,False,caleb94@sutton.info,07452086668,lixwrlvcr4g5ht600dk9,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,"813 Miller Lakes
Lake Christina, SD 29778-1298",fwq4f8bn,bkvs1p,5a44rykx3,46,False,failed,"813 Miller Lakes
Lake Christina, SD 29778-1298",False,card,VISA 16 digit,Solace Banks
60,True,gonzalesjackson@gmail.com,1-410-373-1228x129,hmkn4nmfc5q5mgify2zw,229.2.225.188,"566 Courtney Stream
Reedland, NH 84853",zcnztn97,s7dg4a,7964l78jo,50,False,fulfilled,"60769 Yang Fork
Port Samanthachester, OH 10135-7083",False,apple pay,VISA 16 digit,a
61,True,gonzalesjackson@gmail.com,1-410-373-1228x129,hmkn4nmfc5q5mgify2zw,229.2.225.188,"566 Courtney Stream
Reedland, NH 84853",zx8st0gu,jlzkil,7964l78jo,41,False,fulfilled,"566 Courtney Stream
Reedland, NH 84853",False,apple pay,VISA 16 digit,a
62,True,gonzalesjackson@gmail.com,1-410-373-1228x129,hmkn4nmfc5q5mgify2zw,229.2.225.188,"566 Courtney Stream
Reedland, NH 84853",fzvbpn58,f8bsyg,7964l78jo,44,False,fulfilled,"611 Steven Land Suite 843
Loganhaven, NY 14012",False,apple pay,VISA 16 digit,a
63,True,gonzalesjackson@gmail.com,1-410-373-1228x129,hmkn4nmfc5q5mgify2zw,229.2.225.188,"566 Courtney Stream
Reedland, NH 84853",1wa1s613,u3ogjs,7964l78jo,41,False,fulfilled,"566 Courtney Stream
Reedland, NH 84853",False,apple pay,VISA 16 digit,a
64,False,dana09@yahoo.com,515.708.2280x105,wb0uylp0rwy01x5j1jzd,166.148.66.158,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",koade5oa,giqilg,1lejsiqz7,12,True,fulfilled,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",False,card,JCB 16 digit,Bastion Banks
65,False,dana09@yahoo.com,515.708.2280x105,wb0uylp0rwy01x5j1jzd,166.148.66.158,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",3cryzmi3,giqilg,ww9fq10ca,12,False,fulfilled,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",False,bitcoin,JCB 16 digit,Solace Banks
66,False,dana09@yahoo.com,515.708.2280x105,wb0uylp0rwy01x5j1jzd,166.148.66.158,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",okdmow3s,g56nmt,1lejsiqz7,33,True,fulfilled,"5145 Marquez Oval
South Lisaborough, RI 54165",False,card,JCB 16 digit,Bastion Banks
67,False,dana09@yahoo.com,515.708.2280x105,wb0uylp0rwy01x5j1jzd,166.148.66.158,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",wt1g1zul,g56nmt,ww9fq10ca,33,True,fulfilled,"5145 Marquez Oval
South Lisaborough, RI 54165",False,bitcoin,JCB 16 digit,Solace Banks
68,False,dana09@yahoo.com,515.708.2280x105,wb0uylp0rwy01x5j1jzd,166.148.66.158,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",2yzkbxnq,g56nmt,ww9fq10ca,33,False,fulfilled,"5145 Marquez Oval
South Lisaborough, RI 54165",False,bitcoin,JCB 16 digit,Solace Banks
69,False,dana09@yahoo.com,515.708.2280x105,wb0uylp0rwy01x5j1jzd,166.148.66.158,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",scls9w4j,2ai67b,1lejsiqz7,40,False,fulfilled,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",False,card,JCB 16 digit,Bastion Banks
70,False,alec27@bell.com,895-224-8246x9667,cq5wya63n1w79o0hlnpm,128.61.46.131,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",jbnf5zpw,28xxko,6n2psn50k,34,False,pending,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",False,card,Voyager,Fountain Financial Inc.
71,False,alec27@bell.com,895-224-8246x9667,cq5wya63n1w79o0hlnpm,128.61.46.131,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",60kuyxra,iyl91j,6n2psn50k,12,False,fulfilled,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",False,card,Voyager,Fountain Financial Inc.
72,False,alec27@bell.com,895-224-8246x9667,cq5wya63n1w79o0hlnpm,128.61.46.131,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",vfrua0id,j7ene4,366dsl3w0,30,True,fulfilled,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",False,card,VISA 16 digit,Her Majesty Trust
73,False,alec27@bell.com,895-224-8246x9667,cq5wya63n1w79o0hlnpm,128.61.46.131,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",u6wa5ysx,j7ene4,6n2psn50k,30,True,fulfilled,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",False,card,Voyager,Fountain Financial Inc.
74,False,alec27@bell.com,895-224-8246x9667,cq5wya63n1w79o0hlnpm,128.61.46.131,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",gj13pt1o,j7ene4,6n2psn50k,30,False,fulfilled,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",False,card,Voyager,Fountain Financial Inc.
75,False,alec27@bell.com,895-224-8246x9667,cq5wya63n1w79o0hlnpm,128.61.46.131,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",jh5r2s3s,mir5zf,366dsl3w0,22,False,fulfilled,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",False,card,VISA 16 digit,Her Majesty Trust
76,False,juliecook@hotmail.com,1-412-734-7967x67388,sj72s0k7wxdrxu3rcmba,61ba:a72b:5401:db1a:9833:d0da:254c:2369,"1750 Alicia Shoals Apt. 000
South Benjamin, ND 75373",5855qbk5,p6g2g0,rqpuq19z6,11,False,fulfilled,"1750 Alicia Shoals Apt. 000
South Benjamin, ND 75373",False,card,Voyager,His Majesty Bank Corp.
77,False,juliecook@hotmail.com,1-412-734-7967x67388,sj72s0k7wxdrxu3rcmba,61ba:a72b:5401:db1a:9833:d0da:254c:2369,"1750 Alicia Shoals Apt. 000
South Benjamin, ND 75373",6lf1jy8o,7y5qly,rqpuq19z6,14,False,fulfilled,"1750 Alicia Shoals Apt. 000
South Benjamin, ND 75373",False,card,Voyager,His Majesty Bank Corp.
78,False,meganberry@clark.biz,1-991-846-6271x54037,2vpovzopjoqppeqfa5nw,73.182.31.59,"34944 Glenn Mountain
Sherryhaven, TN 36252",74b4ih1u,1d19rh,bcetnywn4,37,False,fulfilled,"833 Mathis Prairie
Fergusonview, MH 81934-1374",False,card,JCB 16 digit,Her Majesty Trust
79,False,meganberry@clark.biz,1-991-846-6271x54037,2vpovzopjoqppeqfa5nw,73.182.31.59,"34944 Glenn Mountain
Sherryhaven, TN 36252",o4z2x2e9,deh1ao,bcetnywn4,42,True,fulfilled,"34944 Glenn Mountain
Sherryhaven, TN 36252",False,card,JCB 16 digit,Her Majesty Trust
80,False,meganberry@clark.biz,1-991-846-6271x54037,2vpovzopjoqppeqfa5nw,73.182.31.59,"34944 Glenn Mountain
Sherryhaven, TN 36252",1u5d7k9y,deh1ao,bcetnywn4,42,False,fulfilled,"34944 Glenn Mountain
Sherryhaven, TN 36252",False,card,JCB 16 digit,Her Majesty Trust
81,False,meganberry@clark.biz,1-991-846-6271x54037,2vpovzopjoqppeqfa5nw,73.182.31.59,"34944 Glenn Mountain
Sherryhaven, TN 36252",85k8mjpo,xdmwyo,bcetnywn4,11,False,fulfilled,"34944 Glenn Mountain
Sherryhaven, TN 36252",False,card,JCB 16 digit,Her Majesty Trust
